5 100
75 77 36 -76 -67 1025
-13 -67 -91 18 31 -257
74 -41 50 4 32 213
39 -23 33 56 44 119
32 60 16 -64 31 275
63 -100 -39 77 -55 336
97 -17 -51 -12 -19 1073
-58 -92 -44 -94 -40 -507
7 -95 -78 -69 81 -140
-59 96 -81 39 82 -592
-77 26 -78 -88 35 -537
-49 -76 10 -37 -93 -503
-64 53 30 -2 -9 -524
95 -98 82 -17 -20 596
-13 -27 82 -62 49 -438
43 52 12 -12 -33 448
25 -21 67 28 -4 186
28 49 -53 -88 -36 466
-56 68 14 -77 -24 -216
19 78 -24 84 97 180
79 -50 69 62 -69 770
-44 10 -100 -27 71 -467
-58 -86 67 96 63 -842
-88 -12 93 -27 4 -861
-74 15 98 89 -21 -572
63 -63 59 10 -27 552
-56 29 46 -8 38 -452
96 26 18 16 62 770
-7 39 62 98 29 -244
80 100 -18 95 -53 1102
-21 -29 -53 60 -20 -274
-69 13 76 46 10 -629
-80 -23 58 -62 -21 -716
-42 -82 -71 -88 51 -597
26 -23 -71 67 -48 170
-65 95 82 31 -14 -568
58 -22 36 93 -38 687
-26 -59 -41 -3 -8 -380
66 32 -58 3 -36 677
-74 35 -65 51 99 -800
30 -86 -96 63 -25 304
27 29 -20 2 22 338
59 -36 -64 -53 68 395
38 72 8 50 39 488
95 -18 -3 -44 -49 828
-75 -68 -60 33 -8 -707
45 2 15 41 -33 422
92 -54 -93 55 74 549
58 45 14 -48 86 851
93 60 18 -64 29 964
-15 -61 54 -67 49 -402
-31 -49 -5 -99 55 -446
22 80 8 13 -79 791
-75 64 -58 -84 42 -663
4 -22 -90 2 61 -194
-55 -79 73 -28 45 -727
72 -96 89 -100 58 448
-51 38 80 -36 37 -470
54 97 23 69 67 688
-18 -58 28 40 62 -460
21 7 31 -94 -73 367
-17 -11 70 10 -83 -40
96 73 -100 -63 56 822
-38 62 74 29 -17 -174
-85 -14 76 55 -33 -809
48 46 -15 -69 -3 609
50 37 -12 0 92 392
-51 -48 -74 21 -26 -507
89 48 -19 39 -5 870
-68 -86 -32 -52 20 -741
82 -61 95 -40 -39 690
-12 91 94 28 -47 118
-93 5 10 74 98 -959
-96 -48 -6 29 93 -1113
38 -46 -48 -92 25 288
40 6 53 -53 -65 578
64 62 -51 -64 -37 705
-67 -74 9 75 95 -1031
69 -25 92 -42 -37 711
-12 73 22 -63 -30 205
-62 -17 -38 13 -10 -556
97 -47 30 59 -9 892
-32 -42 -31 32 20 -393
-2 -43 -80 -4 61 -21
70 37 54 65 42 711
73 -23 -65 -79 -3 520
-69 87 64 2 -41 -316
-29 -46 98 2 -5 -260
0 -50 82 -75 -14 -105
96 -69 -49 -3 -88 1179
-12 -26 47 -61 12 -242
-47 -31 -85 -86 93 -406
64 46 22 -40 -20 590
17 3 51 -42 59 48
44 -28 -9 92 -45 151
-70 69 -35 -58 -44 -441
-81 3 84 -54 -82 -916
-19 19 -61 51 2 -85
54 75 91 72 -55 682
-26 60 97 -93 6 -251
